value,higher_order_dimension,weight,description,example_sentence
power,self-enhancement,7.2,"Social status and prestige, control or dominance over people and resources","I believe it's important to have authority and influence over others."
power,self-enhancement,7.2,"Social status and prestige, control or dominance over people and resources","I strive to be the decision maker in group situations."
power,self-enhancement,7.2,"Social status and prestige, control or dominance over people and resources","Having wealth and material possessions shows that I'm successful."
achievement,self-enhancement,10.4,"Personal success through demonstrating competence according to social standards","It's important for me to show my capabilities and be admired for what I do."
achievement,self-enhancement,10.4,"Personal success through demonstrating competence according to social standards","I work hard to be successful according to society's definition of achievement."
achievement,self-enhancement,10.4,"Personal success through demonstrating competence according to social standards","Being ambitious and showing my abilities to others drives my decisions."
achievement,self-enhancement,10.4,"Personal success through demonstrating competence according to social standards","I value recognition for my accomplishments and competence."
hedonism,openness-to-change/self-enhancement,7.0,"Pleasure or sensuous gratification for oneself","I seek every opportunity to have fun and enjoy life's pleasures."
hedonism,openness-to-change/self-enhancement,7.0,"Pleasure or sensuous gratification for oneself","Having a good time and enjoying myself is a priority for me."
hedonism,openness-to-change/self-enhancement,7.0,"Pleasure or sensuous gratification for oneself","I believe in indulging myself and experiencing sensory pleasure."
stimulation,openness-to-change,8.6,"Excitement, novelty, and challenge in life","I'm always looking for new activities and experiences that are exciting."
stimulation,openness-to-change,8.6,"Excitement, novelty, and challenge in life","I prefer a life full of variety, novelty and challenges."
stimulation,openness-to-change,8.6,"Excitement, novelty, and challenge in life","Taking risks and seeking adventure makes life worth living."
self-direction,openness-to-change,14.3,"Independent thought and action—choosing, creating, exploring","I value the freedom to make my own decisions and chart my own course."
self-direction,openness-to-change,14.3,"Independent thought and action—choosing, creating, exploring","I enjoy being creative and developing new ideas and approaches."
self-direction,openness-to-change,14.3,"Independent thought and action—choosing, creating, exploring","Thinking for myself and forming my own opinions is essential."
self-direction,openness-to-change,14.3,"Independent thought and action—choosing, creating, exploring","I prefer to set my own goals rather than follow others' expectations."
self-direction,openness-to-change,14.3,"Independent thought and action—choosing, creating, exploring","I value intellectual curiosity and the pursuit of knowledge."
universalism,self-transcendence,17.5,"Understanding, appreciation, tolerance, and protection for the welfare of all people and nature","I believe in equal opportunities and rights for everyone, regardless of background."
universalism,self-transcendence,17.5,"Understanding, appreciation, tolerance, and protection for the welfare of all people and nature","Environmental protection and harmony with nature are essential principles for me."
universalism,self-transcendence,17.5,"Understanding, appreciation, tolerance, and protection for the welfare of all people and nature","I try to understand and accept people who are different from me."
universalism,self-transcendence,17.5,"Understanding, appreciation, tolerance, and protection for the welfare of all people and nature","I believe in social justice and care for the vulnerable in society."
universalism,self-transcendence,17.5,"Understanding, appreciation, tolerance, and protection for the welfare of all people and nature","World peace and the welfare of all people matters deeply to me."
universalism,self-transcendence,17.5,"Understanding, appreciation, tolerance, and protection for the welfare of all people and nature","I value wisdom and a mature understanding of life."
benevolence,self-transcendence,15.6,"Preservation and enhancement of the welfare of people with whom one is in frequent personal contact","I go out of my way to be helpful and supportive to those close to me."
benevolence,self-transcendence,15.6,"Preservation and enhancement of the welfare of people with whom one is in frequent personal contact","Being loyal and devoted to friends and loved ones is very important to me."
benevolence,self-transcendence,15.6,"Preservation and enhancement of the welfare of people with whom one is in frequent personal contact","Honesty and sincerity in my relationships is a core principle for me."
benevolence,self-transcendence,15.6,"Preservation and enhancement of the welfare of people with whom one is in frequent personal contact","I value true friendship and deep, meaningful relationships."
benevolence,self-transcendence,15.6,"Preservation and enhancement of the welfare of people with whom one is in frequent personal contact","Forgiveness and understanding are virtues I try to practice."
tradition,conservation,7.3,"Respect, commitment to, and acceptance of the customs and ideas that one's culture or religion provides","I value traditional practices and customs that have been passed down through generations."
tradition,conservation,7.3,"Respect, commitment to, and acceptance of the customs and ideas that one's culture or religion provides","Religious faith and observance of cultural traditions guide my life decisions."
tradition,conservation,7.3,"Respect, commitment to, and acceptance of the customs and ideas that one's culture or religion provides","I believe in moderation and avoiding extremes in life and behavior."
conformity,conservation,7.5,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms","I try to follow rules and meet social expectations in how I behave."
conformity,conservation,7.5,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms","I believe it's important to be polite and avoid behavior others might find offensive."
conformity,conservation,7.5,"Restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms","Self-discipline and resisting temptation are virtues I strive to maintain."
security,conservation,11.6,"Safety, harmony, and stability of society, relationships, and self","I prioritize safety and stability in my personal life and in society."
security,conservation,11.6,"Safety, harmony, and stability of society, relationships, and self","National security and social order are essential for a well-functioning society."
security,conservation,11.6,"Safety, harmony, and stability of society, relationships, and self","I value cleanliness and orderliness in my environment."
security,conservation,11.6,"Safety, harmony, and stability of society, relationships, and self","Family security and protecting loved ones is a top priority for me."
